area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,CT,income,education,densitygroup,incomegroup,msdgroup,edugroup
0,2011,0.000219783,5438.139535,1.01,1.01,Vancouver,0.032537961,0.9809308,0.988417154,3.75E-06,1.01,53396,0.381709742,4,2,1,4
0,1995,0.000357682,5851.13513,1.01,1.01,Vancouver,0.006451176,0.972421722,1.02108425,5.02E-06,1.01,36258,0.282334695,4,1,1,2
0,2008,0.00017801,5323.356486,1.01,1.01,Vancouver,0.017059456,0.980577875,0.996216862,4.14E-06,1.01,59710,0.361870168,4,3,1,3
0,2012,0.000190366,5417.488372,1.01,1.01,Vancouver,0.03055365,186.1472529,186.1593946,0.019372713,1.01,53830,0.384177077,4,2,4,4
0,2000,0.000268,5423.269184,1.01,1.01,Vancouver,0.006842072,0.97933878,1.005177451,4.55E-06,1.01,45167,0.265939005,4,2,1,1
0,2016,0.000152915,5334.883721,1.01,1.01,Vancouver,0.022616408,926.8125413,926.8433044,0.096848555,1.01,61118,0.394046418,4,3,5,4
0,2013,0.000171531,5396.837209,1.01,1.01,Vancouver,0.02856934,371.313575,371.330372,0.038741674,1.01,55652,0.386644412,4,2,5,4
0,1999,0.000308015,5533.714197,1.01,1.01,Vancouver,0.006943691,0.978334967,1.008938235,4.69E-06,1.01,43178,0.269218143,4,2,1,2
0,2007,0.000182237,5285.095469,1.01,1.01,Vancouver,0.011899955,0.980460234,0.998816764,4.27E-06,1.01,61815,0.355256976,4,3,1,3
1,2014,0.000201989,2801.505376,1.02,1.02,Vancouver,0.019569522,64.82448449,64.81405844,0.006680962,1.02,70031,0.394189456,2,3,4,4
1,1993,0.000502859,1884.235294,1.02,1.02,Vancouver,0.00780437,154.8763242,154.914153,0.016103063,1.02,48330,0.260889969,2,2,4,1
1,1990,0.000502625,1632.941176,1.02,1.02,Vancouver,0,164.8886885,164.9380328,0.017150976,1.02,43160,0.270731707,2,2,4,2
1,2009,0.000259175,2526.814727,1.02,1.02,Vancouver,0.022004588,1.001828388,0.986615878,4.75E-06,1.02,65710,0.380518541,2,3,1,4
1,1991,0.000506351,1632.941176,1.02,1.02,Vancouver,0,164.8886885,164.9380328,0.017150976,1.02,43160,0.270731707,2,2,4,2
