area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,education,msdgroup,matgroup,socgroup,edugroup,densitygroup
1,2000,2.90E-05,2078.20346,1.02,1.02,Vancouver,0.012732207,-27.7736951,-27.77482945,0.997089409,0.226443885,3,3,3,2,2
1,2008,4.34E-05,2489.953274,1.02,1.02,Vancouver,0.018348901,-0.002110399,0.009271585,0.999995019,0.365666409,5,5,5,2,2
1,2004,2.73E-05,2262.722303,1.02,1.02,Vancouver,0.008813996,-1439.858938,-1439.854892,0.849383125,0.290186494,1,1,1,1,2
1,1997,2.53E-05,2215.433218,1.02,1.02,Vancouver,0.017816246,-111.0867571,-111.1024573,0.988373957,0.241206493,2,2,2,2,3
1,2001,3.08E-05,2032.460208,1.02,1.02,Vancouver,0.0054787,-3599.643333,-3599.6388,0.623465973,0.221523016,1,1,1,2,2
1,2005,4.63E-05,2339.476335,1.02,1.02,Vancouver,0.009925762,-719.9308061,-719.9269228,0.924688842,0.313074319,1,1,1,1,2
1,2016,2.45E-05,2935.483871,1.02,1.02,Vancouver,0.013071895,-106.3732979,-106.3711702,0.988867925,0.383500557,2,2,2,2,3
1,2002,3.05E-05,2109.21424,1.02,1.02,Vancouver,0.006590465,-2879.715201,-2879.710831,0.69877169,0.244410842,1,1,1,2,2
1,2013,2.57E-05,2734.516129,1.02,1.02,Vancouver,0.022818335,-42.55007778,-42.53550256,0.995544595,0.399533906,2,2,2,3,2
1,1999,2.80E-05,2123.946713,1.02,1.02,Vancouver,0.014426887,-55.54471577,-55.55070541,0.994184258,0.231364755,2,2,2,2,2
1,2006,2.79E-05,2416.230366,1.02,1.02,Vancouver,0.011037528,-0.002674419,0.001046512,0.999994559,0.335962145,4,4,5,1,2
1,2003,2.97E-05,2185.968271,1.02,1.02,Vancouver,0.007702231,-2159.78707,-2159.782861,0.774077407,0.267298668,1,1,1,2,2
1,1996,2.29E-05,2261.176471,1.02,1.02,Vancouver,0.019510926,-138.8577778,-138.8783333,0.985468806,0.246127362,1,1,1,2,3
1,2007,3.20E-05,2453.09182,1.02,1.02,Vancouver,0.014693214,-0.002392409,0.005159049,0.999994789,0.350814277,5,4,5,2,2
1,2011,3.00E-05,2600.537634,1.02,1.02,Vancouver,0.029315961,-0.001264368,0.021609195,0.999995708,0.410222805,5,5,4,3,2
1,2015,2.29E-05,2868.494624,1.02,1.02,Vancouver,0.016320709,-85.09889119,-85.09261432,0.991093482,0.388845007,2,2,2,2,3
1,2012,2.95E-05,2667.526882,1.02,1.02,Vancouver,0.026067148,-21.27567107,-21.25694668,0.997770152,0.404878355,3,3,3,3,2
2,2004,2.81E-05,2893.673469,2.01,2.01,Vancouver,0.012868098,-0.028875913,-0.005970803,0.999992822,0.310953851,4,4,3,2,3
